repo,relative_path,file_type,classification,action_needed
StrataNoble-OPS,/.claude/settings.local.json,settings_local,LOCAL,KEEP
Direct-Cuts,/.claude/agents/ambassador-program-agent.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/auth-flow-agent.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/backend-dev.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/backend-qa-automation-tester.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/barber-portal.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/browser-automation.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/cfo-economics.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/checkr-verification-agent.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/claude-skills-manager.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/cli-deployment-monitor.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/code-quality-testing.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/codebase-admin.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/customer-journey.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/design-agent/.env.example,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/agents/design-agent/package.json,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/agents/design-agent/README.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/design-agent/src/analyzer.ts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/agents/design-agent/src/cli.ts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/agents/design-agent/src/design-system.ts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/agents/design-agent/src/enhancer.ts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/agents/design-agent/src/index.ts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/agents/design-agent/src/types.ts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/agents/design-agent/tsconfig.json,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/agents/documentation-admin.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/earnings-payouts-agent.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/eng-delivery-lead.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/figma-mcp/.env.example,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/agents/figma-mcp/package.json,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/agents/figma-mcp/README.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/figma-mcp/src/component-analyzer.ts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/agents/figma-mcp/src/figma-client.ts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/agents/figma-mcp/src/index.ts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/agents/figma-mcp/src/token-extractor.ts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/agents/figma-mcp/src/types.ts,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/agents/figma-mcp/tsconfig.json,other,EVALUATE,REVIEW
Direct-Cuts,/.claude/agents/file-monitor-ops.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/flutter-sdk-ops.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/frontend-dev.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/geofencing-marketing-agent.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/github-admin.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/infra-deployment-specialist.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/kfc/spec-design.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/kfc/spec-impl.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/kfc/spec-judge.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/kfc/spec-requirements.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/kfc/spec-system-prompt-loader.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/kfc/spec-tasks.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/kfc/spec-test.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/loyalty-retention-agent.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/mobile-notifications-ops.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/ops-monitor.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/orchestrator-agent.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/orchestrator-chief-of-staff.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/paralegal-admin.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/payments-audit-agent.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/PHASE-1.1-AGENT-REGISTRY.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/pm-lead.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/pre-deployment-quality-auditor.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/product-manager.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/product-upsell-agent.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/qa-gatekeeper.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/realtime-audit-agent.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/release-manager.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/research-lead.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/responsive-audit-agent.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/saas-security-auditor.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/subscription-agent.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/supabase-admin.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/support-ticket-admin.md,agent,GLOBAL,MOVE
Direct-Cuts,/.claude/agents/training-module-agent.md,agent,GLOBAL,MOVE
